,Pre Context,Post Context,Current Utterance,No,csi_annotations_final
14,"Chandler Bing: Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!","Joey Tribbiani: What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!","Ross Geller: You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",2,"[('one woman for everybody', 'I', '3', 'I')]"
15,"Ross Geller: You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",Ross Geller: I honestly don't know if I'm hungry or horny.,"Joey Tribbiani: What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",2,"[('Rocky Road', 'M', '3', 'T'), ('Cookie Dough', 'M', '3', 'T'), ('Bing! Cherry Vanilla', 'M', '2', 'T'), ('Jimmies', 'M', '3', 'T')]"
16,"Joey Tribbiani: What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",Chandler Bing: Stay out of my freezer!,Ross Geller: I honestly don't know if I'm hungry or horny.,2,"[('horny', 'T', '2', 'I')]"
17,Ross Geller: I honestly don't know if I'm hungry or horny.,,Chandler Bing: Stay out of my freezer!,2,"[('freezer', 'M', '2', 'T')]"
18,,"Monica Geller: What?..... What, you wanna spell it out with noodles?","Paul the Wine Guy: Ever since she walked out on me, I, uh...",3,[]
19,"Paul the Wine Guy: Ever since she walked out on me, I, uh...","Paul the Wine Guy: No, it's, it's more of a fifth date kinda revelation.","Monica Geller: What?..... What, you wanna spell it out with noodles?",3,[]
20,"Monica Geller: What?..... What, you wanna spell it out with noodles?","Monica Geller: Oh, so there is gonna be a fifth date?","Paul the Wine Guy: No, it's, it's more of a fifth date kinda revelation.",3,[]
21,"Paul the Wine Guy: No, it's, it's more of a fifth date kinda revelation.",Paul the Wine Guy: Isn't there?,"Monica Geller: Oh, so there is gonna be a fifth date?",3,[]
22,"Monica Geller: Oh, so there is gonna be a fifth date?","Monica Geller: Yeah... yeah, I think there is. -What were you gonna say?",Paul the Wine Guy: Isn't there?,3,[]
23,Paul the Wine Guy: Isn't there?,"Paul the Wine Guy: Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually.","Monica Geller: Yeah... yeah, I think there is. -What were you gonna say?",3,[]
24,"Monica Geller: Yeah... yeah, I think there is. -What were you gonna say?","Monica Geller: Oh God, oh God, I am sorry... I am so sorry...","Paul the Wine Guy: Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually.",3,"[('perform. ...Sexually', 'S', '3', 'I'), ('perform. ...Sexually', 'O', '3', 'I'), ('perform. ...Sexually', 'T', '3', 'I')]"
25,"Paul the Wine Guy: Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually.",Paul the Wine Guy: It's okay...,"Monica Geller: Oh God, oh God, I am sorry... I am so sorry...",3,[]
26,"Monica Geller: Oh God, oh God, I am sorry... I am so sorry...",Monica Geller: I know being spit on is probably not what you need right now. Um... how long?,Paul the Wine Guy: It's okay...,3,[]
27,Paul the Wine Guy: It's okay...,Paul the Wine Guy: Two years.,Monica Geller: I know being spit on is probably not what you need right now. Um... how long?,3,"[('being spit on', 'G', '3', 'I')]"
28,Monica Geller: I know being spit on is probably not what you need right now. Um... how long?,Monica Geller: Wow! I'm-I'm-I'm glad you smashed her watch!,Paul the Wine Guy: Two years.,3,[]
29,Paul the Wine Guy: Two years.,"Paul the Wine Guy: So you still think you, um... might want that fifth date?",Monica Geller: Wow! I'm-I'm-I'm glad you smashed her watch!,3,[]
30,Monica Geller: Wow! I'm-I'm-I'm glad you smashed her watch!,"Monica Geller: ...Yeah. Yeah, I do.","Paul the Wine Guy: So you still think you, um... might want that fifth date?",3,[]
31,"Paul the Wine Guy: So you still think you, um... might want that fifth date?",,"Monica Geller: ...Yeah. Yeah, I do.",3,[]
32,,"Joey Tribbiani: Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,","Ross Geller: Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?",4,[]
33,"Ross Geller: Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?","Chandler Bing: Angela's the screamer, Andrea has cats.","Joey Tribbiani: Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,",4,[]
34,"Joey Tribbiani: Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,",Joey Tribbiani: Right. Thanks. It's June. I'm outta here.,"Chandler Bing: Angela's the screamer, Andrea has cats.",4,[]
35,"Chandler Bing: Angela's the screamer, Andrea has cats.","Ross Geller: Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",Joey Tribbiani: Right. Thanks. It's June. I'm outta here.,4,"[('outta here', 'F', '2', 'I')]"
36,Joey Tribbiani: Right. Thanks. It's June. I'm outta here.,TRANSCRIPT_NOTE: [Cut to Rachel staring out of her window.],"Ross Geller: Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",4,[]
37,"Ross Geller: Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",,TRANSCRIPT_NOTE: [Cut to Rachel staring out of her window.],4,[]
38,,"Monica Geller: Hey Frannie, welcome back! How was Florida?","Franny: Hey, Monica!",5,[]
39,"Franny: Hey, Monica!","Franny: You had sex, didn't you?","Monica Geller: Hey Frannie, welcome back! How was Florida?",5,[]
40,"Monica Geller: Hey Frannie, welcome back! How was Florida?",Monica Geller: How do you do that?,"Franny: You had sex, didn't you?",5,"[('You had sex', 'F', '3', 'I'), ('You had sex', 'O', '3', 'I'), ('You had sex', 'T', '3', 'I')]"
41,"Franny: You had sex, didn't you?","Franny: Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?",Monica Geller: How do you do that?,5,[]
42,Monica Geller: How do you do that?,Monica Geller: You know Paul?,"Franny: Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?",5,"[('Parrot Jungle', 'E', '3', 'T'), ('having sex', 'S', '3', 'I'), ('having sex', 'T', '3', 'I')]"
43,"Franny: Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?","Franny: Paul the Wine Guy? Oh yeah, I know Paul.",Monica Geller: You know Paul?,5,[]
44,Monica Geller: You know Paul?,Monica Geller: You mean you know Paul like I know Paul?,"Franny: Paul the Wine Guy? Oh yeah, I know Paul.",5,[]
45,"Franny: Paul the Wine Guy? Oh yeah, I know Paul.","Franny: Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.",Monica Geller: You mean you know Paul like I know Paul?,5,[]
46,Monica Geller: You mean you know Paul like I know Paul?,,"Franny: Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.",5,[]
47,,"Joey Tribbiani: Yeah, right!.......Y'serious?","Monica Geller: What you guys don't understand is, for us, kissing is as important as any part of it.",6,[]
48,"Monica Geller: What you guys don't understand is, for us, kissing is as important as any part of it.","Phoebe Buffay: Oh, yeah!","Joey Tribbiani: Yeah, right!.......Y'serious?",6,[]
49,"Joey Tribbiani: Yeah, right!.......Y'serious?",Rachel Green: Everything you need to know is in that first kiss.,"Phoebe Buffay: Oh, yeah!",6,[]
50,"Phoebe Buffay: Oh, yeah!",Monica Geller: Absolutely.,Rachel Green: Everything you need to know is in that first kiss.,6,"[('first kiss', 'G', '2', 'I')]"
51,Rachel Green: Everything you need to know is in that first kiss.,"Chandler Bing: Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",Monica Geller: Absolutely.,6,[]
52,Monica Geller: Absolutely.,"Ross Geller: Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.","Chandler Bing: Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",6,"[('stand-up comedian', 'F', '2', 'I'), ('Pink Floyd', 'S', '3', 'T')]"
53,"Chandler Bing: Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.","Chandler Bing: The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.","Ross Geller: Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",6,[]
54,"Ross Geller: Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.","Rachel Green: Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.","Chandler Bing: The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",6,"[('concert', 'I', '2', 'T'), ('comedian', 'I', '2', 'T')]"
55,"Chandler Bing: The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",Joey Tribbiani: ....Are we still talking about sex?,"Rachel Green: Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",6,"[('comedian', 'I', '2', 'I')]"
56,"Rachel Green: Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",,Joey Tribbiani: ....Are we still talking about sex?,6,"[('talking about sex', 'S', '2', 'I'), ('talking about sex', 'O', '2', 'I'), ('talking about sex', 'T', '2', 'I')]"
57,,Barry Farber: C'mon in.,Rachel Green: Barry?,7,[]
58,Rachel Green: Barry?,Rachel Green: Are you sure?,Barry Farber: C'mon in.,7,[]
59,Barry Farber: C'mon in.,"Barry Farber: Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",Rachel Green: Are you sure?,7,[]
60,Rachel Green: Are you sure?,Robbie: Huh?!,"Barry Farber: Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",7,[]
61,"Barry Farber: Yeah! It's fine, it's fine. Robbie's gonna be here for hours.","Barry Farber: So, how ya doin?",Robbie: Huh?!,7,[]
62,Robbie: Huh?!,Rachel Green: I'm- uh- I'm okay... You look great!,"Barry Farber: So, how ya doin?",7,[]
63,"Barry Farber: So, how ya doin?","Barry Farber: Yeah, well..",Rachel Green: I'm- uh- I'm okay... You look great!,7,[]
64,Rachel Green: I'm- uh- I'm okay... You look great!,"Bernice: Dr. Farber, Jason Greenstein's gagging.","Barry Farber: Yeah, well..",7,[]
65,"Barry Farber: Yeah, well..",Barry Farber: Be right there. Be back in a sec.,"Bernice: Dr. Farber, Jason Greenstein's gagging.",7,[]
66,"Bernice: Dr. Farber, Jason Greenstein's gagging.",TRANSCRIPT_NOTE: (As Barry exits Robbie stares at Rachel.),Barry Farber: Be right there. Be back in a sec.,7,[]
67,Barry Farber: Be right there. Be back in a sec.,Rachel Green: I dumped him.,TRANSCRIPT_NOTE: (As Barry exits Robbie stares at Rachel.),7,[]
68,TRANSCRIPT_NOTE: (As Barry exits Robbie stares at Rachel.),Robbie: Okay.,Rachel Green: I dumped him.,7,"[('dumped', 'F', '2', 'I')]"
69,Rachel Green: I dumped him.,,Robbie: Okay.,7,[]
70,,Carol Willick: Give me a 'for instance'.,"Ross Geller: So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?",8,[]
71,"Ross Geller: So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?","Ross Geller: Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",Carol Willick: Give me a 'for instance'.,8,[]
72,Carol Willick: Give me a 'for instance'.,Carol Willick: Marlon-,"Ross Geller: Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",8,[]
73,"Ross Geller: Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",Ross Geller: Marlon?!,Carol Willick: Marlon-,8,[]
74,Carol Willick: Marlon-,"Carol Willick: -if it's a boy, Minnie if it's a girl.",Ross Geller: Marlon?!,8,[]
75,Ross Geller: Marlon?!,Ross Geller: ...As in Mouse?,"Carol Willick: -if it's a boy, Minnie if it's a girl.",8,"[('Minnie', 'I', '3', 'I')]"
76,"Carol Willick: -if it's a boy, Minnie if it's a girl.",Carol Willick: As in my grandmother.,Ross Geller: ...As in Mouse?,8,[]
77,Ross Geller: ...As in Mouse?,"Ross Geller: Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",Carol Willick: As in my grandmother.,8,[]
78,Carol Willick: As in my grandmother.,Carol Willick: Julia..,"Ross Geller: Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",8,"[('you say Minnie, you hear Mouse', 'F', '3', 'I')]"
79,"Ross Geller: Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",Susan Bunch: We agreed on Minnie.,Carol Willick: Julia..,8,[]
80,Carol Willick: Julia..,"Ross Geller: 'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",Susan Bunch: We agreed on Minnie.,8,"[('Minnie', 'I', '3', 'I')]"
81,Susan Bunch: We agreed on Minnie.,,"Ross Geller: 'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",8,"[('roll with the punches', 'S', '3', 'I'), (""'S'funny"", 'F', '3', 'I')]"
82,,Joey Tribbiani: What are we supposed to be seeing here?,Ross Geller: Well? Isn't that amazing?,9,[]
83,Ross Geller: Well? Isn't that amazing?,"Chandler Bing: I dunno, but.. I think it's about to attack the Enterprise.",Joey Tribbiani: What are we supposed to be seeing here?,9,[]
84,Joey Tribbiani: What are we supposed to be seeing here?,"Phoebe Buffay: You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.","Chandler Bing: I dunno, but.. I think it's about to attack the Enterprise.",9,"[('Enterprise', 'I', '3', 'I')]"
85,"Chandler Bing: I dunno, but.. I think it's about to attack the Enterprise.","Ross Geller: Then don't do that, alright?","Phoebe Buffay: You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.",9,[]
86,"Phoebe Buffay: You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.",Phoebe Buffay: Okay!,"Ross Geller: Then don't do that, alright?",9,[]
87,"Ross Geller: Then don't do that, alright?",Ross Geller: Monica. Whaddya think?,Phoebe Buffay: Okay!,9,[]
88,Phoebe Buffay: Okay!,Monica Geller: Mm-hmm.,Ross Geller: Monica. Whaddya think?,9,[]
89,Ross Geller: Monica. Whaddya think?,Ross Geller: Wh- are you welling up?,Monica Geller: Mm-hmm.,9,[]
90,Monica Geller: Mm-hmm.,Monica Geller: No.,Ross Geller: Wh- are you welling up?,9,"[('wh- are you welling up', 'G', '2', 'I')]"
91,Ross Geller: Wh- are you welling up?,"Ross Geller: You are, you're welling up.",Monica Geller: No.,9,[]
92,Monica Geller: No.,Monica Geller: Am not!,"Ross Geller: You are, you're welling up.",9,"[('welling up', 'G', '2', 'I')]"
93,"Ross Geller: You are, you're welling up.",Ross Geller: You're gonna be an aunt.,Monica Geller: Am not!,9,[]
94,Monica Geller: Am not!,Monica Geller: Oh shut up!,Ross Geller: You're gonna be an aunt.,9,[]
95,Ross Geller: You're gonna be an aunt.,"Rachel Green: Hi, Mindy. Hi, it-it's Rachel. Yeah, I'm fine. I-I saw Barry today. Oh, yeah, yeah he-he told me. No, no, it's okay. I hope you two are very happy, I really do. Oh, oh, and Mind, y'know, if-if everything works out, and you guys end up getting married and having kids- and everything- I just hope they have his old hairline and your old nose. Okay, I know it was a cheap shot, but I feel so much better now.",Monica Geller: Oh shut up!,9,[]
96,Monica Geller: Oh shut up!,,"Rachel Green: Hi, Mindy. Hi, it-it's Rachel. Yeah, I'm fine. I-I saw Barry today. Oh, yeah, yeah he-he told me. No, no, it's okay. I hope you two are very happy, I really do. Oh, oh, and Mind, y'know, if-if everything works out, and you guys end up getting married and having kids- and everything- I just hope they have his old hairline and your old nose. Okay, I know it was a cheap shot, but I feel so much better now.",9,[]
97,,Ross Geller: Well..,Monica Geller: Hi.. how was the game?,10,[]
98,Monica Geller: Hi.. how was the game?,#ALL#: WE WON!! Thank you! Yes!,Ross Geller: Well..,10,[]
99,Ross Geller: Well..,Monica Geller: Fantastic! I have one question: How is that possible?,#ALL#: WE WON!! Thank you! Yes!,10,[]
100,#ALL#: WE WON!! Thank you! Yes!,Joey Tribbiani: Alan.,Monica Geller: Fantastic! I have one question: How is that possible?,10,[]
101,Monica Geller: Fantastic! I have one question: How is that possible?,"Ross Geller: He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...",Joey Tribbiani: Alan.,10,[]
102,Joey Tribbiani: Alan.,"Rachel Green: I mean, it-it was like, it was like he made us into a team.","Ross Geller: He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...",10,[]
103,"Ross Geller: He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...","Chandler Bing: Yep, we sure showed those Hassidic jewellers a thing or two about softball..","Rachel Green: I mean, it-it was like, it was like he made us into a team.",10,[]
104,"Rachel Green: I mean, it-it was like, it was like he made us into a team.",Monica Geller: Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..,"Chandler Bing: Yep, we sure showed those Hassidic jewellers a thing or two about softball..",10,"[('Hassidic jewellers', 'S', '3', 'F')]"
105,"Chandler Bing: Yep, we sure showed those Hassidic jewellers a thing or two about softball..",Ross Geller: What?,Monica Geller: Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..,10,[]
106,Monica Geller: Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..,"Monica Geller: ..I dunno, a little too Alan?",Ross Geller: What?,10,[]
107,Ross Geller: What?,"Rachel Green: Well, no. That's impossible. You can never be too Alan.","Monica Geller: ..I dunno, a little too Alan?",10,[]
108,"Monica Geller: ..I dunno, a little too Alan?","Ross Geller: Yeah, it's his, uh, innate Alan-ness that-that-that we adore.","Rachel Green: Well, no. That's impossible. You can never be too Alan.",10,[]
109,"Rachel Green: Well, no. That's impossible. You can never be too Alan.",Chandler Bing: I personally could have a gallon of Alan.,"Ross Geller: Yeah, it's his, uh, innate Alan-ness that-that-that we adore.",10,"[('innate Alan-ness', 'F', '3', 'I')]"
110,"Ross Geller: Yeah, it's his, uh, innate Alan-ness that-that-that we adore.",,Chandler Bing: I personally could have a gallon of Alan.,10,"[('gallon of', 'F', '2', 'I')]"
111,,"Phoebe Buffay: No, I'm fine.",Lizzy: Keep the change. Sure you don't wanna pretzel?,11,[]
112,Lizzy: Keep the change. Sure you don't wanna pretzel?,Lizzy: See ya.,"Phoebe Buffay: No, I'm fine.",11,[]
113,"Phoebe Buffay: No, I'm fine.",TRANSCRIPT_NOTE: (Phoebe opens the can and reacts.),Lizzy: See ya.,11,[]
114,Lizzy: See ya.,Phoebe Buffay: Huh!,TRANSCRIPT_NOTE: (Phoebe opens the can and reacts.),11,[]
115,TRANSCRIPT_NOTE: (Phoebe opens the can and reacts.),,Phoebe Buffay: Huh!,11,[]
116,,Paula: No.,Monica Geller: Did you ever go out with a guy your friends all really like?,12,[]
117,Monica Geller: Did you ever go out with a guy your friends all really like?,"Monica Geller: Okay.. Well, I'm going out with a guy my friends all really like.",Paula: No.,12,[]
118,Paula: No.,"Paula: Waitwait.. we talking about the coyotes here? All right, a cow got through!","Monica Geller: Okay.. Well, I'm going out with a guy my friends all really like.",12,[]
119,"Monica Geller: Okay.. Well, I'm going out with a guy my friends all really like.","Monica Geller: Can you believe it? ...Y'know what? I just don't feel the thing. I mean, they feel the thing, I don't feel the thing.","Paula: Waitwait.. we talking about the coyotes here? All right, a cow got through!",12,"[('coyotes', 'E', '3', 'T')]"
120,"Paula: Waitwait.. we talking about the coyotes here? All right, a cow got through!","Paula: Honey.. you should always feel the thing. Listen, if that's how you feel about the guy, Monica, dump him!","Monica Geller: Can you believe it? ...Y'know what? I just don't feel the thing. I mean, they feel the thing, I don't feel the thing.",12,"[('feel the thing', 'F', '3', 'I')]"
121,"Monica Geller: Can you believe it? ...Y'know what? I just don't feel the thing. I mean, they feel the thing, I don't feel the thing.",Monica Geller: I know.. it's gonna be really hard.,"Paula: Honey.. you should always feel the thing. Listen, if that's how you feel about the guy, Monica, dump him!",12,[]
122,"Paula: Honey.. you should always feel the thing. Listen, if that's how you feel about the guy, Monica, dump him!","Paula: Well, he's a big boy, he'll get over it.",Monica Geller: I know.. it's gonna be really hard.,12,[]
123,Monica Geller: I know.. it's gonna be really hard.,"Monica Geller: No, he'll be fine. It's the other five I'm worried about.","Paula: Well, he's a big boy, he'll get over it.",12,[]
124,"Paula: Well, he's a big boy, he'll get over it.",,"Monica Geller: No, he'll be fine. It's the other five I'm worried about.",12,[]
125,,Ross Geller: Don't you realise what you're-you're doing to yourself?,Joey Tribbiani: Do you have any respect for your body?,13,[]
126,Joey Tribbiani: Do you have any respect for your body?,"Chandler Bing: Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it.",Ross Geller: Don't you realise what you're-you're doing to yourself?,13,[]
127,Ross Geller: Don't you realise what you're-you're doing to yourself?,"Rachel Green: Chandler? It's Alan, he wants to speak to you.","Chandler Bing: Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it.",13,[]
128,"Chandler Bing: Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it.","Chandler Bing: Really? He does? Hey, buddy, what's up! Oh, she told you about that, huh. Well, yeah, I have one now and then. Well, yeah, now. Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before. Well, okay, thanks!","Rachel Green: Chandler? It's Alan, he wants to speak to you.",13,[]
129,"Rachel Green: Chandler? It's Alan, he wants to speak to you.","Rachel Green: God, he's good.","Chandler Bing: Really? He does? Hey, buddy, what's up! Oh, she told you about that, huh. Well, yeah, I have one now and then. Well, yeah, now. Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before. Well, okay, thanks!",13,[]
130,"Chandler Bing: Really? He does? Hey, buddy, what's up! Oh, she told you about that, huh. Well, yeah, I have one now and then. Well, yeah, now. Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before. Well, okay, thanks!",Ross Geller: If only he were a woman.,"Rachel Green: God, he's good.",13,[]
131,"Rachel Green: God, he's good.",Rachel Green: Yeah.,Ross Geller: If only he were a woman.,13,[]
132,Ross Geller: If only he were a woman.,TRANSCRIPT_NOTE: (They give each other a dubious look.),Rachel Green: Yeah.,13,[]
133,Rachel Green: Yeah.,,TRANSCRIPT_NOTE: (They give each other a dubious look.),13,[]
134,,"Monica Geller: I'm, I'm really sorry.",Alan: Wow.,14,[]
135,Alan: Wow.,"Alan: Yeah, I'm sorry too. But, I gotta tell you, I am a little relieved.","Monica Geller: I'm, I'm really sorry.",14,[]
136,"Monica Geller: I'm, I'm really sorry.",Monica Geller: Relieved?,"Alan: Yeah, I'm sorry too. But, I gotta tell you, I am a little relieved.",14,[]
137,"Alan: Yeah, I'm sorry too. But, I gotta tell you, I am a little relieved.","Alan: Yeah, well, I had a great time with you.. I just can't stand your friends.",Monica Geller: Relieved?,14,[]
138,Monica Geller: Relieved?,,"Alan: Yeah, well, I had a great time with you.. I just can't stand your friends.",14,[]
