,Pre Context,Post Context,Current Utterance,No,csi items,categories,foreignness,level,corresponding_values,corresponding_values_filtered,csi_items_all,csi_items_fil
10,Ross Geller: I'm divorced! I'm only 26 and I'm divorced!,Chandler Bing: You must stop!,Joey Tribbiani: Shut up!,2,"['Shut up', 'Shut up']","['G', 'O']","['2', '2']","['I', 'I']","[('Shut up', 'G', '2', 'I'), ('Shut up', 'O', '2', 'I')]","[('Shut up', 'G', '2', 'I'), ('Shut up', 'O', '2', 'I')]",2,2
11,Joey Tribbiani: Shut up!,Ross Geller: That only took me an hour.,Chandler Bing: You must stop!,2,[],[],[],[],[],[],0,0
12,Chandler Bing: You must stop!,"Chandler Bing: Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!",Ross Geller: That only took me an hour.,2,[],[],[],[],[],[],0,0
13,Ross Geller: That only took me an hour.,"Ross Geller: You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...","Chandler Bing: Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!",2,['Mento'],['I'],['3'],['I'],"[('Mento', 'I', '3', 'I')]","[('Mento', 'M', '3', 'T')]",1,1
14,"Chandler Bing: Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!","Joey Tribbiani: What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!","Ross Geller: You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",2,['one woman for everybody'],['I'],['3'],['I'],"[('one woman for everybody', 'I', '3', 'I')]","[('one woman for everybody', 'I', '3', 'I')]",1,1
15,"Ross Geller: You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",Ross Geller: I honestly don't know if I'm hungry or horny.,"Joey Tribbiani: What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",2,"['Rocky Road', 'Cookie Dough', 'Bing! Cherry Vanilla', 'Jimmies']","['M', 'M', 'M', 'M']","['2', '2', '3', '3']","['T', 'T', 'T', 'T']","[('Rocky Road', 'M', '2', 'T'), ('Cookie Dough', 'M', '2', 'T'), ('Bing! Cherry Vanilla', 'M', '3', 'T'), ('Jimmies', 'M', '3', 'T')]","[('Rocky Road', 'M', '3', 'T'), ('Cookie Dough', 'M', '3', 'T'), ('Bing! Cherry Vanilla', 'M', '2', 'T'), ('Jimmies', 'M', '3', 'T')]",4,4
16,"Joey Tribbiani: What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",Chandler Bing: Stay out of my freezer!,Ross Geller: I honestly don't know if I'm hungry or horny.,2,['hungry or horny'],['F'],['2'],['I'],"[('hungry or horny', 'F', '2', 'I')]","[('hungry or horny', 'F', '2', 'I')]",1,1
17,Ross Geller: I honestly don't know if I'm hungry or horny.,,Chandler Bing: Stay out of my freezer!,2,['freezer'],['M'],['2'],['T'],"[('freezer', 'M', '2', 'T')]","[('freezer', 'M', '2', 'T')]",1,1
18,,"Monica Geller: What?..... What, you wanna spell it out with noodles?","Paul the Wine Guy: Ever since she walked out on me, I, uh...",3,['bender'],['I'],['2'],['I'],"[('bender', 'I', '2', 'I')]","[('walked out on me', 'F', '2', 'T')]",1,1
19,"Paul the Wine Guy: Ever since she walked out on me, I, uh...","Paul the Wine Guy: No, it's, it's more of a fifth date kinda revelation.","Monica Geller: What?..... What, you wanna spell it out with noodles?",3,['noodles'],['M'],['1'],['T'],"[('noodles', 'M', '1', 'T')]",[],1,0
20,"Monica Geller: What?..... What, you wanna spell it out with noodles?","Monica Geller: Oh, so there is gonna be a fifth date?","Paul the Wine Guy: No, it's, it's more of a fifth date kinda revelation.",3,['fifth date'],['I'],['2'],['I'],"[('fifth date', 'I', '2', 'I')]","[('fifth date', 'S', '2', 'I')]",1,1
21,"Paul the Wine Guy: No, it's, it's more of a fifth date kinda revelation.",Paul the Wine Guy: Isn't there?,"Monica Geller: Oh, so there is gonna be a fifth date?",3,['fifth date'],['S'],['2'],['I'],"[('fifth date', 'S', '2', 'I')]","[('fifth date', 'S', '2', 'I')]",1,1
22,"Monica Geller: Oh, so there is gonna be a fifth date?","Monica Geller: Yeah... yeah, I think there is. -What were you gonna say?",Paul the Wine Guy: Isn't there?,3,[],[],[],[],[],[],0,0
23,Paul the Wine Guy: Isn't there?,"Paul the Wine Guy: Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually.","Monica Geller: Yeah... yeah, I think there is. -What were you gonna say?",3,[],[],[],[],[],[],0,0
24,"Monica Geller: Yeah... yeah, I think there is. -What were you gonna say?","Monica Geller: Oh God, oh God, I am sorry... I am so sorry...","Paul the Wine Guy: Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually.",3,"['perform. ...Sexually', 'perform. ...Sexually', 'perform. ...Sexually']","['S', 'O', 'T']","['3', '3', '3']","['I', 'I', 'I']","[('perform. ...Sexually', 'S', '3', 'I'), ('perform. ...Sexually', 'O', '3', 'I'), ('perform. ...Sexually', 'T', '3', 'I')]","[('perform. ...Sexually', 'S', '3', 'I'), ('perform. ...Sexually', 'O', '3', 'I'), ('perform. ...Sexually', 'T', '3', 'I')]",3,3
25,"Paul the Wine Guy: Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually.",Paul the Wine Guy: It's okay...,"Monica Geller: Oh God, oh God, I am sorry... I am so sorry...",3,"['Oh God, oh God']",['G'],['1'],['I'],"[('Oh God, oh God', 'G', '1', 'I')]",[],1,0
26,"Monica Geller: Oh God, oh God, I am sorry... I am so sorry...",Monica Geller: I know being spit on is probably not what you need right now. Um... how long?,Paul the Wine Guy: It's okay...,3,['Chianti'],['M'],['2'],['T'],"[('Chianti', 'M', '2', 'T')]",[],1,1
27,Paul the Wine Guy: It's okay...,Paul the Wine Guy: Two years.,Monica Geller: I know being spit on is probably not what you need right now. Um... how long?,3,['being spit on'],['G'],['3'],['I'],"[('being spit on', 'G', '3', 'I')]","[('being spit on', 'G', '3', 'I')]",1,1
28,Monica Geller: I know being spit on is probably not what you need right now. Um... how long?,Monica Geller: Wow! I'm-I'm-I'm glad you smashed her watch!,Paul the Wine Guy: Two years.,3,['wine'],['M'],['2'],['T'],"[('wine', 'M', '2', 'T')]",[],1,1
29,Paul the Wine Guy: Two years.,"Paul the Wine Guy: So you still think you, um... might want that fifth date?",Monica Geller: Wow! I'm-I'm-I'm glad you smashed her watch!,3,['smashed'],['F'],['2'],['I'],"[('smashed', 'F', '2', 'I')]","[('smashed', 'F', '2', 'I')]",1,1
30,Monica Geller: Wow! I'm-I'm-I'm glad you smashed her watch!,"Monica Geller: ...Yeah. Yeah, I do.","Paul the Wine Guy: So you still think you, um... might want that fifth date?",3,['wine'],['M'],['2'],['T'],"[('wine', 'M', '2', 'T')]",[],1,1
31,"Paul the Wine Guy: So you still think you, um... might want that fifth date?",,"Monica Geller: ...Yeah. Yeah, I do.",3,[],[],[],[],[],[],0,0
32,,"Joey Tribbiani: Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,","Ross Geller: Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?",4,"['spoon', ""Billy, don't be a hero""]","['M', 'I']","['1', '3']","['T', 'I']","[('spoon', 'M', '1', 'T'), (""Billy, don't be a hero"", 'I', '3', 'I')]","[(""Billy, don't be a hero"", 'I', '3', 'I')]",2,1
33,"Ross Geller: Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?","Chandler Bing: Angela's the screamer, Andrea has cats.","Joey Tribbiani: Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,",4,['Oh man'],['F'],['1'],['I'],"[('Oh man', 'F', '1', 'I')]",[],1,0
34,"Joey Tribbiani: Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,",Joey Tribbiani: Right. Thanks. It's June. I'm outta here.,"Chandler Bing: Angela's the screamer, Andrea has cats.",4,['cats'],['M'],['1'],['T'],"[('cats', 'M', '1', 'T')]",[],1,0
35,"Chandler Bing: Angela's the screamer, Andrea has cats.","Ross Geller: Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",Joey Tribbiani: Right. Thanks. It's June. I'm outta here.,4,['outta here'],['F'],['2'],['I'],"[('outta here', 'F', '2', 'I')]","[('outta here', 'F', '2', 'I')]",1,1
36,Joey Tribbiani: Right. Thanks. It's June. I'm outta here.,TRANSCRIPT_NOTE: [Cut to Rachel staring out of her window.],"Ross Geller: Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",4,"[""Y'know""]",['G'],['2'],['I'],"[(""Y'know"", 'G', '2', 'I')]","[(""Y'know"", 'G', '2', 'I')]",1,1
37,"Ross Geller: Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",,TRANSCRIPT_NOTE: [Cut to Rachel staring out of her window.],4,['staring out of her window'],['G'],['2'],['I'],"[('staring out of her window', 'G', '2', 'I')]","[('staring out of her window', 'G', '2', 'I')]",1,1
38,,"Monica Geller: Hey Frannie, welcome back! How was Florida?","Franny: Hey, Monica!",5,['Hey'],['G'],['1'],['I'],"[('Hey', 'G', '1', 'I')]",[],1,0
39,"Franny: Hey, Monica!","Franny: You had sex, didn't you?","Monica Geller: Hey Frannie, welcome back! How was Florida?",5,[],[],[],[],[],[],0,0
40,"Monica Geller: Hey Frannie, welcome back! How was Florida?",Monica Geller: How do you do that?,"Franny: You had sex, didn't you?",5,"['You had sex', 'You had sex', 'You had sex']","['F', 'O', 'T']","['3', '3', '3']","['I', 'I', 'I']","[('You had sex', 'F', '3', 'I'), ('You had sex', 'O', '3', 'I'), ('You had sex', 'T', '3', 'I')]","[('You had sex', 'F', '3', 'I'), ('You had sex', 'O', '3', 'I'), ('You had sex', 'T', '3', 'I')]",3,3
41,"Franny: You had sex, didn't you?","Franny: Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?",Monica Geller: How do you do that?,5,['How do you do that?'],['G'],['1'],['I'],"[('How do you do that?', 'G', '1', 'I')]",[],1,0
42,Monica Geller: How do you do that?,Monica Geller: You know Paul?,"Franny: Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?",5,"['Parrot Jungle', 'having sex', 'hate', 'having sex']","['E', 'S', 'O', 'T']","['3', '3', '1', '3']","['T', 'I', 'I', 'I']","[('Parrot Jungle', 'E', '3', 'T'), ('having sex', 'S', '3', 'I'), ('hate', 'O', '1', 'I'), ('having sex', 'T', '3', 'I')]","[('Parrot Jungle', 'E', '3', 'T'), ('having sex', 'S', '3', 'I'), ('having sex', 'T', '3', 'I')]",4,3
43,"Franny: Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?","Franny: Paul the Wine Guy? Oh yeah, I know Paul.",Monica Geller: You know Paul?,5,[],[],[],[],[],[],0,0
44,Monica Geller: You know Paul?,Monica Geller: You mean you know Paul like I know Paul?,"Franny: Paul the Wine Guy? Oh yeah, I know Paul.",5,"['wine', 'Paul the Wine Guy']","['M', 'I']","['2', '3']","['T', 'I']","[('wine', 'M', '2', 'T'), ('Paul the Wine Guy', 'I', '3', 'I')]","[('wine', 'M', '2', 'T')]",2,2
45,"Franny: Paul the Wine Guy? Oh yeah, I know Paul.","Franny: Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.",Monica Geller: You mean you know Paul like I know Paul?,5,['You know'],['F'],['1'],['I'],"[('You know', 'F', '1', 'I')]",[],1,0
46,Monica Geller: You mean you know Paul like I know Paul?,,"Franny: Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.",5,[],[],[],[],[],[],0,0
47,,"Joey Tribbiani: Yeah, right!.......Y'serious?","Monica Geller: What you guys don't understand is, for us, kissing is as important as any part of it.",6,['kissing'],['S'],['1'],['I'],"[('kissing', 'S', '1', 'I')]",[],1,0
48,"Monica Geller: What you guys don't understand is, for us, kissing is as important as any part of it.","Phoebe Buffay: Oh, yeah!","Joey Tribbiani: Yeah, right!.......Y'serious?",6,"[""Y'serious?"", 'Yeah, right!']","['G', 'F']","['3', '3']","['I', 'I']","[(""Y'serious?"", 'G', '3', 'I'), ('Yeah, right!', 'F', '3', 'I')]","[(""Y'serious?"", 'G', '3', 'I')]",2,2
49,"Joey Tribbiani: Yeah, right!.......Y'serious?",Rachel Green: Everything you need to know is in that first kiss.,"Phoebe Buffay: Oh, yeah!",6,"['Oh, yeah!']",['F'],['1'],['NA'],"[('Oh, yeah!', 'F', '1', 'NA')]",[],1,0
50,"Phoebe Buffay: Oh, yeah!",Monica Geller: Absolutely.,Rachel Green: Everything you need to know is in that first kiss.,6,['first kiss'],['G'],['2'],['I'],"[('first kiss', 'G', '2', 'I')]","[('first kiss', 'G', '2', 'I')]",1,1
51,Rachel Green: Everything you need to know is in that first kiss.,"Chandler Bing: Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",Monica Geller: Absolutely.,6,[],[],[],[],[],[],0,0
52,Monica Geller: Absolutely.,"Ross Geller: Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.","Chandler Bing: Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",6,"[""y'know"", 'stand-up comedian']","['F', 'F']","['1', '2']","['I', 'I']","[(""y'know"", 'F', '1', 'I'), ('stand-up comedian', 'F', '2', 'I')]","[('stand-up comedian', 'F', '2', 'I'), ('Pink Floyd', 'S', '3', 'T')]",2,1
53,"Chandler Bing: Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.","Chandler Bing: The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.","Ross Geller: Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",6,['comedian'],['S'],['2'],['I'],"[('comedian', 'S', '2', 'I')]",[],1,1
54,"Ross Geller: Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.","Rachel Green: Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.","Chandler Bing: The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",6,"['car', 'concert', 'comedian', ""y'know""]","['M', 'I', 'I', 'F']","['1', '2', '2', '1']","['T', 'T', 'T', 'I']","[('car', 'M', '1', 'T'), ('concert', 'I', '2', 'T'), ('comedian', 'I', '2', 'T'), (""y'know"", 'F', '1', 'I')]","[('concert', 'I', '2', 'T'), ('comedian', 'I', '2', 'T')]",4,2
55,"Chandler Bing: The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",Joey Tribbiani: ....Are we still talking about sex?,"Rachel Green: Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",6,['comedian'],['I'],['2'],['I'],"[('comedian', 'I', '2', 'I')]","[('comedian', 'I', '2', 'I')]",1,1
56,"Rachel Green: Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",,Joey Tribbiani: ....Are we still talking about sex?,6,"['talking about sex', 'talking about sex', 'talking about sex']","['S', 'O', 'T']","['2', '2', '2']","['I', 'I', 'I']","[('talking about sex', 'S', '2', 'I'), ('talking about sex', 'O', '2', 'I'), ('talking about sex', 'T', '2', 'I')]","[('talking about sex', 'S', '2', 'I'), ('talking about sex', 'O', '2', 'I'), ('talking about sex', 'T', '2', 'I')]",3,3
57,,Barry Farber: C'mon in.,Rachel Green: Barry?,7,[],[],[],[],[],[],0,0
58,Rachel Green: Barry?,Rachel Green: Are you sure?,Barry Farber: C'mon in.,7,"[""C'mon in""]",['G'],['2'],['I'],"[(""C'mon in"", 'G', '2', 'I')]","[(""C'mon in"", 'G', '2', 'I')]",1,1
59,Barry Farber: C'mon in.,"Barry Farber: Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",Rachel Green: Are you sure?,7,[],[],[],[],[],[],0,0
60,Rachel Green: Are you sure?,Robbie: Huh?!,"Barry Farber: Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",7,[],[],[],[],[],[],0,0
61,"Barry Farber: Yeah! It's fine, it's fine. Robbie's gonna be here for hours.","Barry Farber: So, how ya doin?",Robbie: Huh?!,7,['Huh'],['G'],['1'],['I'],"[('Huh', 'G', '1', 'I')]",[],1,0
62,Robbie: Huh?!,Rachel Green: I'm- uh- I'm okay... You look great!,"Barry Farber: So, how ya doin?",7,['how ya doin'],['S'],['1'],['I'],"[('how ya doin', 'S', '1', 'I')]",[],1,0
63,"Barry Farber: So, how ya doin?","Barry Farber: Yeah, well..",Rachel Green: I'm- uh- I'm okay... You look great!,7,[],[],[],[],[],[],0,0
64,Rachel Green: I'm- uh- I'm okay... You look great!,"Bernice: Dr. Farber, Jason Greenstein's gagging.","Barry Farber: Yeah, well..",7,[],[],[],[],[],[],0,0
65,"Barry Farber: Yeah, well..",Barry Farber: Be right there. Be back in a sec.,"Bernice: Dr. Farber, Jason Greenstein's gagging.",7,[],[],[],[],[],[],0,0
66,"Bernice: Dr. Farber, Jason Greenstein's gagging.",TRANSCRIPT_NOTE: (As Barry exits Robbie stares at Rachel.),Barry Farber: Be right there. Be back in a sec.,7,"['Be right there', 'Be back in a sec']","['G', 'G']","['2', '2']","['I', 'I']","[('Be right there', 'G', '2', 'I'), ('Be back in a sec', 'G', '2', 'I')]",[],2,2
67,Barry Farber: Be right there. Be back in a sec.,Rachel Green: I dumped him.,TRANSCRIPT_NOTE: (As Barry exits Robbie stares at Rachel.),7,['stares'],['G'],['1'],['I'],"[('stares', 'G', '1', 'I')]",[],1,0
68,TRANSCRIPT_NOTE: (As Barry exits Robbie stares at Rachel.),Robbie: Okay.,Rachel Green: I dumped him.,7,['dumped'],['F'],['2'],['I'],"[('dumped', 'F', '2', 'I')]","[('dumped', 'F', '2', 'I')]",1,1
69,Rachel Green: I dumped him.,,Robbie: Okay.,7,['Okay'],['G'],['1'],['I'],"[('Okay', 'G', '1', 'I')]",[],1,0
70,,Carol Willick: Give me a 'for instance'.,"Ross Geller: So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?",8,"[""y'know""]",['G'],['1'],['I'],"[(""y'know"", 'G', '1', 'I')]",[],1,0
71,"Ross Geller: So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?","Ross Geller: Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",Carol Willick: Give me a 'for instance'.,8,"[""'for instance'""]",['G'],['2'],['I'],"[(""'for instance'"", 'G', '2', 'I')]","[(""'for instance'"", 'F', '2', 'I')]",1,1
72,Carol Willick: Give me a 'for instance'.,Carol Willick: Marlon-,"Ross Geller: Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",8,"[""baby's name""]",['I'],['1'],['I'],"[(""baby's name"", 'I', '1', 'I')]",[],1,0
73,"Ross Geller: Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",Ross Geller: Marlon?!,Carol Willick: Marlon-,8,[],[],[],[],[],[],0,0
74,Carol Willick: Marlon-,"Carol Willick: -if it's a boy, Minnie if it's a girl.",Ross Geller: Marlon?!,8,['Marlon'],['I'],['3'],['I'],"[('Marlon', 'I', '3', 'I')]",[],1,1
75,Ross Geller: Marlon?!,Ross Geller: ...As in Mouse?,"Carol Willick: -if it's a boy, Minnie if it's a girl.",8,['naming conventions'],['T'],['2'],['I'],"[('naming conventions', 'T', '2', 'I')]","[('Minnie', 'I', '3', 'I')]",1,1
76,"Carol Willick: -if it's a boy, Minnie if it's a girl.",Carol Willick: As in my grandmother.,Ross Geller: ...As in Mouse?,8,['Mouse'],['E'],['1'],['T'],"[('Mouse', 'E', '1', 'T')]",[],1,0
77,Ross Geller: ...As in Mouse?,"Ross Geller: Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",Carol Willick: As in my grandmother.,8,[],[],[],[],[],[],0,0
78,Carol Willick: As in my grandmother.,Carol Willick: Julia..,"Ross Geller: Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",8,"['you say Minnie, you hear Mouse']",['F'],['3'],['I'],"[('you say Minnie, you hear Mouse', 'F', '3', 'I')]","[('you say Minnie, you hear Mouse', 'F', '3', 'I')]",1,1
79,"Ross Geller: Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",Susan Bunch: We agreed on Minnie.,Carol Willick: Julia..,8,[],[],[],[],[],[],0,0
80,Carol Willick: Julia..,"Ross Geller: 'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",Susan Bunch: We agreed on Minnie.,8,['Minnie'],['I'],['3'],['I'],"[('Minnie', 'I', '3', 'I')]","[('Minnie', 'I', '3', 'I')]",1,1
81,Susan Bunch: We agreed on Minnie.,,"Ross Geller: 'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",8,"['roll with the punches', ""'S'funny"", ""Julia's on the table""]","['S', 'F', 'T']","['3', '3', '3']","['I', 'I', 'I']","[('roll with the punches', 'S', '3', 'I'), (""'S'funny"", 'F', '3', 'I'), (""Julia's on the table"", 'T', '3', 'I')]","[('roll with the punches', 'S', '3', 'I'), (""'S'funny"", 'F', '3', 'I')]",3,3
82,,Joey Tribbiani: What are we supposed to be seeing here?,Ross Geller: Well? Isn't that amazing?,9,[],[],[],[],[],[],0,0
83,Ross Geller: Well? Isn't that amazing?,"Chandler Bing: I dunno, but.. I think it's about to attack the Enterprise.",Joey Tribbiani: What are we supposed to be seeing here?,9,['seeing here'],['G'],['1'],['I'],"[('seeing here', 'G', '1', 'I')]",[],1,0
84,Joey Tribbiani: What are we supposed to be seeing here?,"Phoebe Buffay: You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.","Chandler Bing: I dunno, but.. I think it's about to attack the Enterprise.",9,['Enterprise'],['I'],['3'],['I'],"[('Enterprise', 'I', '3', 'I')]","[('Enterprise', 'I', '3', 'I')]",1,1
85,"Chandler Bing: I dunno, but.. I think it's about to attack the Enterprise.","Ross Geller: Then don't do that, alright?","Phoebe Buffay: You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.",9,"['tilt your head', 'relax your eyes']","['G', 'G']","['1', '1']","['I', 'I']","[('tilt your head', 'G', '1', 'I'), ('relax your eyes', 'G', '1', 'I')]",[],2,0
86,"Phoebe Buffay: You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.",Phoebe Buffay: Okay!,"Ross Geller: Then don't do that, alright?",9,[],[],[],[],[],[],0,0
87,"Ross Geller: Then don't do that, alright?",Ross Geller: Monica. Whaddya think?,Phoebe Buffay: Okay!,9,['Okay'],['G'],['1'],['I'],"[('Okay', 'G', '1', 'I')]",[],1,0
